stem,세부직무명,회사명,담당업무,우대사항,스킬
0241_GI48352455_㈜미리디 채용 - [미리디] 프로덕트 디자이너 (UI_UX Designer) _ 잡코리아,데이터 분석가,㈜미리디,"['""미리디의 프로덕트 디자이너는 이런 방식으로 일하고 있어요!"" ', '단순히 화면을 예쁘게 만드는 것이 아니라,고객의 경험과 비즈니스의 흐름을 함께 고민하며 프로덕트의 방향성을 설계해요.고객의 목소', '데이터를 바탕으로 문제를 정의하고,기획부터 실행,개선까지 서비스의 전 과정에 깊이 관여하며 프로덕트의 가치를 끝까지 책임져', ""우리는 '이걸 왜 만들어야 하는지','어떻게 하면 더 나은 경험이 될 수 있을지'를 먼저 고민해요.다양한 아이디어를 제안하고 팀과 함께 방'향을 논의하며', '더 나은 선택을 함께 만들어갑니다.그 과정에서 PM', '개발자', '데이터 분석가 등 다양한 직무의 동료들과 함께 문제 정의부 터 기능 기획']","['""이런 분이라면 장기적으로 서로에게 더 긍정적일 것 같아요!"" 서비스의 흐름과 상세 정책을 직접 기획·설계하고 실제 시장에 출시해본 경험이 있는 분', 'B2B 서비스 또는 복잡한 내부 시스템을 설계하고 개선한 경험이 있는 분', '태블릿', '모바일 등 다양한 디바이스 환경에서 범용적인 디자인 패턴을 이해하고', '상황에 맞게 적용할 수 있는 분.', '문제를 주도적으로 해결한 과정이 명확하게 보이는 프로젝트를 첨부해 주세요.', '단순 GUI 리뉴얼과 그래픽 작업이 아닌 기능적 플로우 설계의 논리,정책을 중점적으로 확인하고 있어요.(무엇을 문제로 생각했는지)']",[]
0242_GI48360620_보보스링크㈜ 채용 - 2호선 코스메틱대기업 _ 퍼포먼스 마케터 및 디지털 마케팅 분석가 채용 _ 잡코리아,데이터 시각화 분석가,보보스링크㈜,"['퍼포먼스 마케터 (1명)', '플랫폼 또는 브랜드 사 내 전사 조직/사업부에서의 Online Commerce사업 KPI', '퍼포먼스 등 Sales & MKT 데이터 활용 분석 경험 oKPI대시보드 관리 o데이터 기반 Reporting 작성 경험 및 아카이빙 oDigital 관련 프로젝트 경험(이커머스', '디지털 컨텐츠', '소셜/미디어 등)']","['Proficient in Excel, PPT, SQL, Power BI 퍼포먼스 마케터(Performance Marketer)', '디지털 마케팅 분석가(Marketing Analyst)', '이커머스MD/eCommerce운영 CRM마케터 프로덕트 매니저(PM)/서비스 기획자 |0논 [영어] TOEIC(Speaking)', '[영어] OPIc Writ ing']","['Excel', 'Google Analytics', 'SQL', 'Power BI']"
0243_GI48360101_㈜레진엔터테인먼트 채용 - [다우키움 계열사] 데이터 엔지니어 (경력) _ 잡코리아,데이터 엔지니어,㈜레진엔터테인먼트,[],"['Apache Spark 기반의 대용량 데이터 분산 처리 및 성능 최적화 경험을 보유하신 분', 'Kaf ka,Kinesis 등을 활용한 실시간 데이터 파이프라인 구축 경험을 보유하신 분', '유관 부서(분석가,비즈니스 팀)와의 원활한 협업 및 커뮤니케이션 능력을 보유하신 분']","['AWS', 'GCP', 'Azure', 'Spark']"
0244_GI48093310_㈜킵스바이오파마 채용 - (주)킵스바이오파마 전략기획실 경력직 채용 _ 잡코리아,데이터 분석가,㈜킵스바이오파마,"['IR/공시_기획업무 (1명)', '정기공시 및 수시공시 작성·제출(DART,KIND)', 'IR 자료(실적자료', '기업설명자료', 'IR Book 등)작성 및 업데이트 기존 투자자(주주', '이사회 등 주요 회의 준비 및 문서 작성 시장', '동종업계 동향 리서치 및 내부 보고 재무']","['상장사 공시 실무 경험 DART 편집기,KIND시스템 활용 경험 제약·바이오 산업 이해도']",['Excel']
0245_GI48364023_Manpower business solution 채용 - [말레이시아 근무] Sales Pricing Analyst - 반도체산업 _ 잡코리아,데이터 시각화 분석가,Manpower business solution,"['Sales Pricing', 'A Sales Pricing Support Specialist is responsible f or providing pricing and Analyst administrative support to the sales team by managing pricing enablement, generating (1명)', 'accurate quotes, and ensuring compliance with pricing policies, ultimately aiming to opt imize sales revenue and prof it ability while maint aining competit ive pricing.', 'Quote Generation: Develop and deliver accurate and timely sales quotes based on product specif ications, cust omer needs, and pricing guidelines.', 'Pricing Strategy Development: Collaborate with client to implement aligned pricing st rat egies f rom Sales Organization f or new products, promotions, and cust omer segments.', 'Pricing Compliance: Monit or and enf orce established pricing policies, ensuring adherence to company guidelines and legal regulations.', 'Data Management: Maint ain and update pricing data in CRM systems', 'including product det ails']","['competitive pricing.', 'Proficient in CRM systems for managing pricing dat a and generating quotes.', 'Excellent verbal and written communication skills f or ef f ective collaboration with int ernal teams and customers.', 'Ability to work cross-f unctionally with sales', 'marketing', 'finance', 'and other depart ment s on pricing workf lows.']",[]
0246_GI48308248_㈜크립토미디어그룹 채용 - [코인] 온체인애널리스트 크립토 시장 이해도가 높은 전문가 채용 (상주) _ 잡코리아,데이터 분석가,㈜크립토미디어그룹,['선물매매 리딩 전문가 (0명) 온체인(블록체인)데이터 수집 및 분석 시장동향 및 트렌드 분 시황 브리핑 기타 등등'],"['블록체인 및 암호화폐에 대한 이해도가 높으신 데이터 분석 및 해석 능력 코인 시장 브리핑 가능하신 분', '선물매매 대회에서 우수한 성적내신 분']",['R']
0247_GI48282151_㈜셀게이트 채용 - [셀게이트] 바이럴마케팅 _ 온라인 영업MD _ 자사몰 영업MD 채용 _ 잡코리아,데이터 분석가,㈜셀게이트,[],"['바이럴 소셜미디어채널 바이럴/체험단/SNS운영 경험자 마케팅 (0명)', '(인스타그램,블로그,유튜브 등)홍보 인플루언서 협업 또는 콘텐츠 기획 경험자 (과/차장급)', '인플루언서 및 커뮤니티 건강기능식품 마케팅 경험자 구축,관리 성과분석 및 최적화 매출실적 및 지표관리 건강기능식품/소비재 MD 경험자 매출성장 성공사례 보유자 IOIcEBVCf/움1Y1I 조기퇴근 연차/반차제도 인센티브제 (매월 마지막주 (눈치보지말고 (분기별우수사원 금요일 5시퇴근)', '편하게사용)', '보너스 지급)', '에어팟 자사제품 묵직한~ 사용가능 직원할인 명절선물 (각자 듣고싶은 노래 (직원가를 통해 (정성을담은 들으면서 업무가능)', '저렴하게 구매)', '명절선물 지급)']","['Excel', 'R']"
0248_GI48324333_픽셀로직코리아(유) 채용 - Finance Analyst _ 잡코리아,데이터 분석가,픽셀로직코리아(유),"['support the VP & GM, APAC and the central Corporate Services in the United States.', 'The successful individual has a desire to build strong relationships with business line heads and non-financial stakeholders through effective business partnering.', 'There is also plenty scope for the new appointment to enhance existing processes as well as regular business planning, forecast and management information reports.', 'Responsible for accurate preparation on the consolidated (P&L, balance sheet, and cash flow)', ""monthly financial results, quarterly forecasts and annual budgets of the Company's business units to senior management and external parties."", 'Review and monitor key changes between actual results vs.', 'current forecast', 'budget']","['Highly proficient in Microsoft office, specifically Microsoft Excel.', 'Skilled in billing', 'reporting', 'analysis', 'problem solving and relationship building.', 'Excellent verbal and written communication skills.', 'Strong attention to detail, organizational, problem-solving and high level math skills.', 'Equal Opportunity Employer']",['Excel']
0249_GI48346050_마이데이터 채용 - [삼성전자 SAIT] Business Analyst (BA) _ Business Developer 모집 _ 잡코리아,데이터 분석가,마이데이터,[],"['삼성전자 또는 대기업 IT 조직/연구소 상주 경험', 'ITO 계약,IT 투자/예산 관리 경험', '정보전략(IS),IT 기획,경영기획 경험', '임원/의사결정자 대상 보고 경험']",['Excel']
0250_GI48099884_㈜대한파트너스 채용 - [코인TM _ 코인레퍼럴] 코인 TM 영업 채용 (부천 본사 _ 자체생산 DB _ 단 _ 잡코리아,데이터 분석가,㈜대한파트너스,['TM영업 (0명) 코인TM영업 고퀄리티 자체 DB 무료체험 유치 FEIEIL IO_ 고인 데퍼널'],['코인 가상자산 래퍼럴 유사투자 영업 TM 금융 기본우대'],[]
